scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JY,2,R1,9085,M,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1,TRUE,No,FALSE,0,0,3,NA,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,2,B1,9072,C,FALSE,TRUE,0,0,0,0,2,TRUE,TRUE,0,1,0,0,6,4,3,0,TRUE,P,TRUE,0,0,3,NA,"7,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,3,B3,6328,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,2,0,3,5,4,0,TRUE,P,FALSE,0,0,4,NA,"7,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,3,R2,868,C,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,2,0,3,6,0,0,TRUE,D,TRUE,0,0,4,cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,3,B2,3937,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,1,2,0,0,0,2,0,0,TRUE,D,FALSE,0,0,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JY,3,R1,,,,,,,,,,,FALSE,3,0,0,0,1,0,4,0,TRUE,P,FALSE,0,0,3,NA,"2,6","inefficient climb, can hold coral and algae at same time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,3,B1,5472,M,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,3,3,NA,0,"Passable defense, some cycles defended and time wasted but could41391ve caught a lot more aggro opportunities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,4,B1,77,M,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,5,0,0,0,5,FALSE,P,FALSE,0,0,2,NA,"Top heavy kit-bot with alright L1,  thing else. Driver could use some work with station alignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,4,B2,5406,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,0,1,5,2,0,1,FALSE,P,TRUE,0,0,3,NA,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,4,B3,108,F,FALSE,TRUE,1,0,0,0,2,TRUE,TRUE,1,1,0,0,1,4,2,1,TRUE,P,FALSE,0,0,3,NA,1,When climbing robot was very slow. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,4,R3,422,C,FALSE,TRUE,1,0,0,0,2,TRUE,FALSE,0,0,2,6,6,4,4,1,TRUE,D,TRUE,0,0,5,NA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,4,R2,4272,F,FALSE,TRUE,0,0,0,0,3,FALSE,FALSE,0,0,0,0,4,4,2,0,TRUE,D,TRUE,0,0,4,NA,1,Had a bit of trouble getting a coral intake at one point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,4,R1,1825,M,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,1,3,5,0,0,TRUE,P,FALSE,0,0,3,NA,,May have descored a coral ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,5,B3,5843,M,FALSE,TRUE,0,0,0,0,1,FALSE,TRUE,0,0,2,0,1,2,2,0,TRUE,D,FALSE,0,0,3,NA,,"Slow robot, slow cycling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,5,R1,6665,M,FALSE,TRUE,1,0,0,0,0,FALSE,TRUE,0,0,2,7,0,0,0,0,TRUE,D,FALSE,0,0,5,NA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,5,R3,8590,F,FALSE,TRUE,1,0,0,0,0,TRUE,FALSE,0,0,0,2,6,9,0,1,FALSE,P,TRUE,0,0,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,5,R2,7563,C,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,1,0,0,8,2,FALSE,P,TRUE,0,0,3,NA,,L1 was a missed L4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,5,B2,6940,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,0,0,0,0,3,0,FALSE,No,FALSE,0,0,4,di,,"Cycled really quickly before disabling, beached as soon as they re-enabled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,5,B1,1710,C,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,1,2,0,0,3,5,0,1,TRUE,D,FALSE,0,0,3,NA,,"Fluid movement, good alignment, little top-heavy and inconsistent net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,6,R3,1502,C,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,3,0,TRUE,D,TRUE,0,2,3,NA,"0,4","Pretty slow cycles, got defended, ineffective defense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,6,R1,1778,F,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,0,6,7,4,0,FALSE,P,TRUE,0,4,5,NA,"0,7","Brief defense, scored in opponent’s processor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,6,B2,7531,C,FALSE,TRUE,1,1,0,0,0,TRUE,TRUE,2,1,0,0,2,3,2,2,FALSE,P,TRUE,0,0,3,NA,,"Slow to intake algae, l1 during auto was a missed l4 attempt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,6,R2,10014,M,FALSE,TRUE,0,0,0,0,1,TRUE,TRUE,0,2,2,0,2,2,0,0,TRUE,D,TRUE,0,0,3,NA,7,"Manip kept dropping algae, during auto tried to score in the barge but missed twice(shown in robo net missed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,6,R2,10014,M,FALSE,TRUE,0,0,0,0,1,TRUE,TRUE,0,2,2,0,2,2,0,0,TRUE,D,TRUE,0,0,3,NA,7,"Manip kept dropping algae, during auto tried to score in the barge but missed twice(shown in robo net missed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,6,B3,10523,F,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,9,0,TRUE,D,FALSE,0,0,4,NA,7,Scoring system used was a 41392dunking41393 system. This meant that the robot never dropped coral but instead just missed the dunk. This occurred thrice in autos and twice in tele-op. Very fast L4 cycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,6,B1,1730,M,FALSE,TRUE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,TRUE,P,FALSE,0,4,3,NA,0,"Technical issue in driver station (saw batteries being changed/wires replugged), and no offense but a surprisingly good defense. Guarded and defended several cycles very well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,7,R1,4499,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,1,0,0,0,3,7,5,0,TRUE,D,FALSE,0,0,5,NA,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,7,R3,5535,M,FALSE,TRUE,0,1,0,0,0,TRUE,FALSE,7,0,2,0,0,0,0,0,TRUE,D,FALSE,0,0,3,NA,6,Really slow but consistent algae and no reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,7,B3,6147,F,FALSE,FALSE,1,0,0,0,1,TRUE,FALSE,0,0,2,0,3,3,5,1,TRUE,D,FALSE,0,0,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,7,B1,5124,M,FALSE,TRUE,0,1,0,0,1,FALSE,FALSE,0,0,0,6,0,0,0,3,FALSE,P,FALSE,1,3,3,NA,0,"At some point in the match, each alliance sent over a bot to play defense. This bot had good defense, however was uncareful and had a clear foul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,7,B2,3538,C,FALSE,TRUE,0,0,0,0,3,TRUE,TRUE,5,0,0,0,5,5,4,0,TRUE,D,FALSE,0,0,4,NA,,On point. It was genuinely difficult to scout them because of how quickly they cycled coral and algae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,7,R2,6738,C,FALSE,TRUE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,0,0,2,2,FALSE,No,FALSE,0,0,3,NA,,Tried to place an L4 on a branch that already had an L4. Also stopped being able to move around a lot near the. end of the match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX,8,B3,4905,F,FALSE,TRUE,1,0,0,0,0,TRUE,TRUE,0,0,2,1,0,2,3,1,TRUE,D,FALSE,0,0,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,8,R2,2832,C,FALSE,TRUE,1,0,0,0,2,TRUE,FALSE,2,0,1,0,7,5,1,0,TRUE,D,TRUE,0,0,5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank,8,R3,4909,F,FALSE,TRUE,0,1,0,0,2,TRUE,FALSE,0,0,3,0,2,3,3,2,TRUE,D,FALSE,0,0,3,NA,6,Indecisive driver (can41391t decide which level to score on reef),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,8,B2,5553,M,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,2,1,1,3,FALSE,No,FALSE,0,0,2,NA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,8,R1,2412,M,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,1,0,0,0,4,2,3,2,TRUE,D,FALSE,0,0,3,NA,7,Got confused by the robots at the start of tele (may be more cycles/pts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,8,B1,449,C,FALSE,TRUE,0,1,1,0,1,TRUE,FALSE,0,0,0,0,1,4,6,2,TRUE,D,TRUE,0,0,3,NA,,"Lots of wobbling, which interfered with scoring and alignment. Also, strangely not as much coral cycled as expected, with more misses sucking up a lot of time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,9,B3,2974,F,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,0,0,3,2,1,5,4,1,FALSE,No,FALSE,0,0,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,9,B1,2635,M,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,3,0,0,0,0,0,0,FALSE,No,FALSE,0,2,2,ba,1,"Inconsistent/non-functional net scorer, played defense but didn41391t get much value before getting beached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,9,B2,3044,C,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,0,2,4,4,2,TRUE,D,FALSE,0,0,4,NA,,"1072 played defense against, shoots coral into L2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,9,R1,294,F,FALSE,TRUE,3,0,0,0,0,TRUE,FALSE,2,1,0,0,3,4,4,0,TRUE,D,FALSE,0,0,3,NA,,Could hold algae and coral at same time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,9,R2,7426,M,FALSE,TRUE,1,0,0,0,0,TRUE,FALSE,1,1,0,0,3,3,6,0,FALSE,P,FALSE,0,0,3,NA,,Made net shots during auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashwin,9,R3,1072,C,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,4,3,NA,5,Could not grip onto any algae nor coral (I.e. really bad intake). Continuously Tailed opponent for defense fairly well for ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,10,B3,2429,F,FALSE,TRUE,2,0,0,0,0,TRUE,FALSE,0,0,0,0,2,4,3,4,TRUE,P,FALSE,0,0,3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,10,R2,1388,M,FALSE,TRUE,0,1,0,0,0,FALSE,FALSE,0,0,0,3,1,2,0,8,TRUE,P,FALSE,0,0,3,NA,,Weird spinny thing on the manip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,10,R1,5468,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,0,0,2,5,6,1,TRUE,D,FALSE,0,0,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,10,B1,1807,C,FALSE,TRUE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,4,4,3,1,FALSE,P,TRUE,0,0,3,NA,,Bad ground-algae intake; solid coral; fast net scoring; issues with aligning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,11,B3,360,C,FALSE,TRUE,2,0,0,0,1,TRUE,TRUE,0,1,2,0,0,1,5,4,FALSE,No,TRUE,0,0,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,11,B2,1880,M,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,0,0,0,0,2,2,0,1,FALSE,P,TRUE,0,0,2,cs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,11,R2,3847,C,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,1,4,5,2,2,TRUE,D,TRUE,0,0,3,NA,7,Almost tipped over multiple times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,11,R1,148,F,FALSE,TRUE,0,0,0,0,2,TRUE,TRUE,2,3,1,0,3,2,2,0,TRUE,D,FALSE,0,0,4,NA,,"Algae kept bouncing out, auto had 1 more L4 but it didn41391t get one at the station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,11,B1,7444,F,FALSE,TRUE,1,0,0,0,1,FALSE,FALSE,0,0,0,0,0,4,4,2,FALSE,P,TRUE,0,0,3,NA,,"Good intake and good coral in general, although there41391s was no defense. Fluid cycles, but I would maybe be a little wary of the coach/drive team. Lots of controlling hand movements over there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashwin,11,R3,3008,M,FALSE,TRUE,0,1,0,0,0,TRUE,TRUE,2,2,1,0,0,0,0,0,TRUE,D,FALSE,0,0,2,NA,"2,6",During auto attempted one L4 but it dropped to L1. Missed 2 processor shots. Very slow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,12,B2,624,M,FALSE,TRUE,0,0,0,0,0,TRUE,FALSE,4,0,5,1,0,0,0,0,TRUE,P,FALSE,0,0,4,NA,,Entered barge at 21 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBS,12,R1,188,F,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,1,1,0,1,4,5,1,1,TRUE,D,FALSE,0,0,3,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,12,R2,5026,C,FALSE,TRUE,0,0,0,0,2,FALSE,FALSE,0,0,0,0,6,4,6,1,TRUE,D,FALSE,0,0,4,NA,1,Suffered from 7415 defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,12,B1,7415,F,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,1,FALSE,No,FALSE,0,3,2,NA,"1,2","No auto, super wobbly and almost tipped over (also intake slammed down against its own elevator) and at some point they were playing defense against their own team (blocked own station). However, their defense was killing it for a few moments, until they lost the groove and eventually shut down without parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
