scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
BH,5,R3,888,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,2,5,2,FALSE,P,FALSE,0,0,0,NA,,Auto got stuck on algae 
AW,5,R1,4541,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,4,3,FALSE,P,FALSE,0,0,4,NA,,Got stuck on algae for a bit
EC,5,B3,9709,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,5,0,0,0,FALSE,P,FALSE,0,0,2,NA,2,Long time between scores due to a lot of time positioning
SBS,5,R2,7886,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,1,FALSE,P,FALSE,0,2,2,NA,0,
NL,5,B2,2537,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,3,3,FALSE,P,FALSE,0,0,2,ba,,
GL,5,B1,3748,C,FALSE,TRUE,0,0,2,0,TRUE,TRUE,0,0,2,0,1,3,0,0,TRUE,D,FALSE,0,0,3,NA,,Overall a little bit slow on movement & therefore cycles
BH,6,R3,10224,F,FALSE,TRUE,0,1,0,0,FALSE,FALSE,0,0,0,1,0,0,5,1,FALSE,No,FALSE,0,0,0,NA,,
EC,6,B3,2421,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,1,FALSE,P,FALSE,2,1,1,NA,,Can41391t really do much besides def and isn41391t good at it either
SBS,6,R2,1111,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,0,0,3,FALSE,P,FALSE,0,0,2,NA,,
AW,6,B2,7770,F,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,2,0,0,FALSE,P,FALSE,0,0,2,NA,5,
GL,6,B1,2106,C,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,2,0,1,3,4,0,TRUE,D,FALSE,0,0,4,NA,,
IH,6,R1,404,M,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,5,0,0,0,0,0,TRUE,P,FALSE,0,0,3,NA,BI,
BH,7,R3,10449,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,
SBS,7,R2,3714,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,NA,,
EC,7,B3,4464,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,2,FALSE,P,FALSE,0,0,2,NA,,Difficulty nav around fallen coral
IH,7,R1,1811,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,4,0,0,FALSE,No,FALSE,0,0,3,NA,BI,
AW,7,B2,5587,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,0,di,,Never moved 
GL,7,B1,2199,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,5,0,TRUE,D,FALSE,0,0,3,NA,,"Mid manip, looks like potemtial for inconsistency?"
SBS,8,R2,3748,F,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,1,0,2,0,1,0,TRUE,D,FALSE,0,0,2,NA,,
LJ,8,R3,339,C,FALSE,TRUE,0,1,0,0,FALSE,FALSE,0,0,0,0,4,1,0,0,FALSE,P,FALSE,0,0,2,NA,2,"Long alignment time at station, occasional hitch at reef"
EC,8,B3,3793,C,FALSE,FALSE,1,0,0,0,FALSE,FALSE,0,0,0,0,1,2,0,4,FALSE,P,FALSE,0,0,3,NA,,Elevator interferes with manip intake I think
IH,8,R1,4541,M,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,1,0,5,3,FALSE,P,FALSE,0,0,4,NA,WM,Slow at aiming outake
AW,8,B2,1885,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,2,4,4,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
GL,8,B1,1727,M,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,1,3,8,0,0,TRUE,D,FALSE,0,0,4,NA,,"None, it41391s REX lol"
AW,9,B2,8622,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,2,0,4,FALSE,P,FALSE,0,0,2,NA,1,
GL,9,B1,10679,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,0,0,4,FALSE,P,FALSE,0,0,2,NA,,Kitbot
SBS,9,R2,888,F,FALSE,TRUE,0,0,0,2,FALSE,FALSE,0,0,0,0,0,0,5,0,FALSE,P,FALSE,0,0,5,NA,,
LJ,9,R3,623,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,0,5,NA,2,"Played interference with blue defense, very good at chasing away and drawing fouls"
IH,9,R1,9709,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,0,FALSE,No,FALSE,5,1,2,ba,D,Tried to play defense and got beached on algae
BH,9,B3,2377,M,FALSE,FALSE,1,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,1,2,0,NA,,
AW,10,B2,2421,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,1,FALSE,P,FALSE,0,0,2,NA,,
BH,10,B3,2199,M,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,1,0,0,5,0,TRUE,D,FALSE,0,0,0,NA,,
LJ,10,R3,449,F,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,5,6,4,0,TRUE,P,FALSE,0,0,5,NA,5,"Auto failed because coral got stuck, many coral got stuck"
IH,10,R1,404,M,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,5,0,0,0,0,0,FALSE,P,FALSE,0,0,3,NA,,Slow dt
SBS,10,R2,2537,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,0,2,3,FALSE,P,FALSE,0,0,3,NA,,
GL,10,B1,9403,C,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,3,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,2,Only L1&super slow to outtake
AW,11,B2,4541,M,FALSE,TRUE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,6,0,FALSE,P,FALSE,0,0,4,NA,,
GL,11,B1,3714,C,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,0,di,,Cost a barge foul
BH,11,B3,1885,F,FALSE,TRUE,0,0,0,0,TRUE,TRUE,4,4,0,0,0,0,0,0,FALSE,P,FALSE,0,0,0,NA,,Can only take algae off first level 
LJ,11,R3,1111,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,1,FALSE,No,FALSE,0,0,3,NA,"1,5","Long alignment at reef and station, took a while to start moving"
SBS,11,R2,5587,C,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,3,NA,0,
IH,11,R1,7886,,FALSE,TRUE,1,0,0,0,TRUE,TRUE,0,0,1,0,0,0,0,0,FALSE,P,FALSE,0,0,1,NA,BI,Tried to pick up 1 algae the entire match
AW,12,B2,3748,F,FALSE,TRUE,0,0,1,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,di,,Coral kept slipping through intake
BH,12,B3,2106,C,FALSE,FALSE,0,0,0,2,TRUE,FALSE,0,0,0,1,0,1,6,1,TRUE,D,FALSE,0,0,4,NA,,
IH,12,R1,1811,C,FALSE,TRUE,0,1,0,0,TRUE,FALSE,0,0,0,0,2,4,0,2,FALSE,P,FALSE,0,0,3,NA,,Slow but (pretty) consistent scoring
LJ,12,R3,10679,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,0,FALSE,No,FALSE,0,0,2,NA,4,Rookie team w/ kitbot
GL,12,B1,623,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,2,2,NA,"2,5,0",Holy mid bro
SBS,12,R2,4464,F,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,0,FALSE,P,FALSE,0,0,2,NA,5,Played defense for a few secs in endgame on no one 
